Tipo,Codi,Nombre,Codigo Barras,Codigo Oem,Descripcion,Estado,Moneda,Costo Interno,Precio,Iva,Precio Final,Rentabilidad,Stock,Stock Reservado,Stock Disponible,Stock Minimo,Visible En Ventas,Rubro,Sub Rubro,Proveedor,Observaciones,CC Compras,CC Ventas,CC Mercaderia
Producto,G2S21K450CL,FREEDOM MICRO PIQUE S/S POLO CLGA XS,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450LAV,FREEDOM MICRO PIQUE S/S POLO LAVENDER LARGE,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450LAV,FREEDOM MICRO PIQUE S/S POLO LAVENDER MEDIUM,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450LAV,FREEDOM MICRO PIQUE S/S POLO LAVENDER SMALL,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450LAVD,FREEDOM MICRO PIQUE S/S POLO LAVENDER XLARGE,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450LAVD,FREEDOM MICRO PIQUE S/S POLO LAVENDER XSMALL,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450N,FREEDOM MICRO PIQUE S/S POLO NVY L,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450N,FREEDOM MICRO PIQUE S/S POLO NVY M,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450N,FREEDOM MICRO PIQUE S/S POLO NVY S,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450NY,FREEDOM MICRO PIQUE S/S POLO NVY XL,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450NY,FREEDOM MICRO PIQUE S/S POLO NVY XS,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450P,FREEDOM MICRO PIQUE S/S POLO PMSE L,,,,Activo,$,0.0,10778.1,0,10778.1,0,"1,00","0,00","1,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450P,FREEDOM MICRO PIQUE S/S POLO PMSE M,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450P,FREEDOM MICRO PIQUE S/S POLO PMSE S,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450PM,FREEDOM MICRO PIQUE S/S POLO PMSE XL,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450PM,FREEDOM MICRO PIQUE S/S POLO PMSE XS,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450P,FREEDOM MICRO PIQUE S/S POLO PRAC L,,,,Activo,$,0.0,10807.23,0,10807.23,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450PR,FREEDOM MICRO PIQUE S/S POLO PRAC XL,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450SEB,FREEDOM MICRO PIQUE S/S POLO SEASIDE BLUE LARGE,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450SEB,FREEDOM MICRO PIQUE S/S POLO SEASIDE BLUE MEDIUM,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450SEB,FREEDOM MICRO PIQUE S/S POLO SEASIDE BLUE SMALL,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450SEBE,FREEDOM MICRO PIQUE S/S POLO SEASIDE BLUE XLARGE,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450SEBE,FREEDOM MICRO PIQUE S/S POLO SEASIDE BLUE XSMALL,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450S,FREEDOM MICRO PIQUE S/S POLO SKGY L,,,,Activo,$,0.0,10778.1,0,10778.1,0,"1,00","0,00","1,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450S,FREEDOM MICRO PIQUE S/S POLO SKGY M,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450S,FREEDOM MICRO PIQUE S/S POLO SKGY S,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450SK,FREEDOM MICRO PIQUE S/S POLO SKGY XL,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450SK,FREEDOM MICRO PIQUE S/S POLO SKGY XS,,,,Activo,$,0.0,10788.1,0,10788.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450SKG,FREEDOM MICRO PIQUE S/S POLO SKY GREY LARGE,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"6,00","0,00","6,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450SKG,FREEDOM MICRO PIQUE S/S POLO SKY GREY MEDIUM,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"7,00","0,00","7,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450SKG,FREEDOM MICRO PIQUE S/S POLO SKY GREY SMALL,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"5,00","0,00","5,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450SKGY,FREEDOM MICRO PIQUE S/S POLO SKY GREY XLARGE,,,,Activo,$,15836.0,12207.7,21,14771.32,0,"4,00","0,00","4,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450SKGY,FREEDOM MICRO PIQUE S/S POLO SKY GREY XSMALL,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"2,00","0,00","2,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450S,FREEDOM MICRO PIQUE S/S POLO SWIS L,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450S,FREEDOM MICRO PIQUE S/S POLO SWIS M,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450S,FREEDOM MICRO PIQUE S/S POLO SWIS S,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450SW,FREEDOM MICRO PIQUE S/S POLO SWIS XL,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450WH,FREEDOM MICRO PIQUE S/S POLO WHITE LARGE,,,,Activo,$,15836.0,12207.7,21,14771.32,0,"1,00","0,00","1,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450WH,FREEDOM MICRO PIQUE S/S POLO WHITE MEDIUM,,,,Activo,$,15836.0,12207.7,21,14771.32,0,"1,00","0,00","1,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450WH,FREEDOM MICRO PIQUE S/S POLO WHITE SMALL,,,,Activo,$,15836.0,12207.7,21,14771.32,0,"1,00","0,00","1,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450WHT,FREEDOM MICRO PIQUE S/S POLO WHITE XLARGE,,,,Activo,$,15836.0,12207.7,21,14771.32,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
